Sowing Month,Sowing Month_APRIL,Sowing Month_AUGUST,Sowing Month_DECEMBER,Sowing Month_FEBRUARY,Sowing Month_JANUARY,Sowing Month_JULY,Sowing Month_JUNE,Sowing Month_MARCH,Sowing Month_MAY,Sowing Month_NOVEMBER,Sowing Month_OCTOBER,Sowing Month_SEPTEMBER
JULY,0,0,0,0,0,0,0,0,0,0,0,0
JUNE,0,0,0,0,0,0,0,0,0,0,0,0
APRIL,0,0,0,0,0,0,0,0,0,0,0,0
AUGUST,0,0,0,0,0,0,0,0,0,0,0,0
MAY,0,0,0,0,0,0,0,0,0,0,0,0
JANUARY,0,0,0,0,0,0,0,0,0,0,0,0
MARCH,0,0,0,0,0,0,0,0,0,0,0,0
SEPTEMBER,0,0,0,0,0,0,0,0,0,0,0,0
OCTOBER,0,0,0,0,0,0,0,0,0,0,0,0
NOVEMBER,0,0,0,0,0,0,0,0,0,0,0,0
DECEMBER,0,0,0,0,0,0,0,0,0,0,0,0
FEBRUARY,0,0,0,0,0,0,0,0,0,0,0,0
