Variety_0,Variety_1,Variety_2,Variety_3,Variety_4,Variety_5,Variety_6,Variety_7,Variety
0,0,0,0,0,0,0,1,KDS-726(PHULESANGAM)
0,0,0,0,0,0,1,0,KDS-753(PHULEKIMAYA)
0,0,0,0,0,0,1,1,MAUS-162
0,0,0,0,0,1,0,0,AMS-MB-5-18(SUVARNSOYA)
0,0,0,0,0,1,0,1,AMS-100-39(PDKV-AMBA)
0,0,0,0,0,1,1,0,MAUS-612
0,0,0,0,0,1,1,1,AMS-1001(PDKVYELLOWGOLD)
0,0,0,0,1,0,0,0,MAUS-158
0,0,0,0,1,0,0,1,KDS-992(PHULEDURVA)
0,0,0,0,1,0,1,0,MACS 1460
0,0,0,0,1,0,1,1,MACS-1407
0,0,0,0,1,1,0,0,JS-335
0,0,0,0,1,1,0,1,MACS-1188
0,0,0,0,1,1,1,0,JS-9305
0,0,0,0,1,1,1,1,NRC130
0,0,0,1,0,0,0,0,BDN-716
0,0,0,1,0,0,0,1,JS-2034
0,0,0,1,0,0,1,0,Bheema (GRG-152)
0,0,0,1,0,0,1,1,DS-228(PHULEKALYANI)
0,0,0,1,0,1,0,0,TS-3R
0,0,0,1,0,1,0,1,BDN 716(BDN 2008-7)
0,0,0,1,0,1,1,0,JRO-524
0,0,0,1,0,1,1,1,PHULE-12(RAJESHWARI)
0,0,0,1,1,0,0,0,TAU-1
0,0,0,1,1,0,0,1,AKU-10-1(BLACKGOLD)
0,0,0,1,1,0,1,0,ICP-8863(MARUTI)
0,0,0,1,1,0,1,1,UTKARSHA
0,0,0,1,1,1,0,0,JS-20-116
0,0,0,1,1,1,0,1,MAUS-71(SAMRUDHI)
0,0,0,1,1,1,1,0,MACS 1520
0,0,0,1,1,1,1,1,BM-2003-02
0,0,1,0,0,0,0,0,JS-2029
0,0,1,0,0,0,0,1,JS-2098
0,0,1,0,0,0,1,0,MACS-1281
0,0,1,0,0,0,1,1,Prankur(JRJ-610)
0,0,1,0,0,1,0,0,Phule Chetak
0,0,1,0,0,1,0,1,MAUS-725
0,0,1,0,0,1,1,0,PKV-TARA(TAT9629)
0,0,1,0,0,1,1,1,NRC-86
0,0,1,0,1,0,0,0,PDKVG 335
0,0,1,0,1,0,0,1,PKV-AKM-4
0,0,1,0,1,0,1,0,BDN-711
0,0,1,0,1,0,1,1,BM-2002-01
0,0,1,0,1,1,0,0,BDN-2013-41(Godawari)
0,0,1,0,1,1,0,1,PDKV-Kalyani
0,0,1,0,1,1,1,0,PKV-NT-11
0,0,1,0,1,1,1,1,P.Vasu(P.U.609-43)
0,0,1,1,0,0,0,0,PHULESAMARTH
0,0,1,1,0,0,0,1,JLT-408
0,0,1,1,0,0,1,0,DHANSHAKTI
0,0,1,1,0,0,1,1,JRO-204
0,0,1,1,0,1,0,0,PKVM-8802
0,0,1,1,0,1,0,1,DAPOLI-2
0,0,1,1,0,1,1,0,Phule Bhaskar
0,0,1,1,0,1,1,1,BHIMARED
0,0,1,1,1,0,0,0,BHIMASUPER
0,0,1,1,1,0,0,1,PHULE EKADASHI
0,0,1,1,1,0,1,0,Phule Warna (KDG-128)
0,0,1,1,1,0,1,1,PHULE KASARI
0,0,1,1,1,1,0,0,AFDR
0,0,1,1,1,1,0,1,PDKV-TILAK
0,0,1,1,1,1,1,0,INDRAYANI
0,0,1,1,1,1,1,1,RTN-8
0,1,0,0,0,0,0,0,KARJAT-3
0,1,0,0,0,0,0,1,JAYA
0,1,0,0,0,0,1,0,RTN-6
0,1,0,0,0,0,1,1,COIMBATORE-51
0,1,0,0,0,1,0,0,KARJAT-2
0,1,0,0,0,1,0,1,KARJAT-9
0,1,0,0,0,1,1,0,KARJAT-8
0,1,0,0,0,1,1,1,KARJAT-5
0,1,0,0,1,0,0,0,RTN-7
0,1,0,0,1,0,0,1,PHULE NACHANI
0,1,0,0,1,0,1,0,MASURI
0,1,0,0,1,0,1,1,TROMBAY KARJAT KOLAM
0,1,0,0,1,1,0,0,B-780
0,1,0,0,1,1,0,1,BHIMADARKRED
0,1,0,0,1,1,1,0,BHIMASHAKTI
0,1,0,0,1,1,1,1,AKU-15
0,1,0,1,0,0,0,0,A.TALL
0,1,0,1,0,0,0,1,IS 142 (NRC 142)
0,1,0,1,0,0,1,0,VARUN
0,1,0,1,0,0,1,1,Phule Trupti (Phule Tur-10-1)
0,1,0,1,0,1,0,0,P.SAMRUDHI
0,1,0,1,0,1,0,1,BHOGAVATI
0,1,0,1,0,1,1,0,KARJAT-7
0,1,0,1,0,1,1,1,DAPOLI-1
0,1,0,1,1,0,0,0,EC-4216
0,1,0,1,1,0,0,1,BIAFBAJRA-1
0,1,0,1,1,0,1,0,ICP-87119(ASHA)
0,1,0,1,1,0,1,1,JS-2094
0,1,0,1,1,1,0,0,RTN-1
0,1,0,1,1,1,0,1,Phule Unnati (RHRG-  6083)
0,1,0,1,1,1,1,0,DAPOLI-3
0,1,0,1,1,1,1,1,TAG 73 (TAG 14-73)
0,1,1,0,0,0,0,0,RVSM 201135 (RVSM 35)
0,1,1,0,0,0,0,1,BHIMASHUBHRA
0,1,1,0,0,0,1,0,Phule Vimukta
0,1,1,0,0,0,1,1,MTU-1010
0,1,1,0,0,1,0,0,Virat
0,1,1,0,0,1,0,1,MTU-1001
0,1,1,0,0,1,1,0,PKV-HMT
0,1,1,0,0,1,1,1,PKVHMT
0,1,1,0,1,0,0,0,SUWARNA
0,1,1,0,1,0,0,1,PKV-TILAK
0,1,1,0,1,0,1,0,JS-9560
0,1,1,0,1,0,1,1,Surabhi
0,1,1,0,1,1,0,0,PDKV-KISAN
0,1,1,0,1,1,0,1,PDKV-Sadhana
0,1,1,0,1,1,1,0,PHULE SWARUPA (DTS-222)
0,1,1,0,1,1,1,1,IISR PRAGATI
0,1,1,1,0,0,0,0,IISR Prathiba
0,1,1,1,0,0,0,1,WRG-255
0,1,1,1,0,0,1,0,PBNS-86
0,1,1,1,0,0,1,1,JAKI-9218
0,1,1,1,0,1,0,0,PKV-NL-260
0,1,1,1,0,1,0,1,PHULEVIKRANT
0,1,1,1,0,1,1,0,RAJVIJAY-202(RVG202)
0,1,1,1,0,1,1,1,PHULEVIKRAM
0,1,1,1,1,0,0,0,PDKV-KANAK(AKG-1303)
0,1,1,1,1,0,0,1,PHULE-VISHWARAJ
0,1,1,1,1,0,1,0,RVG-204
